Date,Close,Ticker
7/22/2019 16:00:00,137.12,OKTA
7/23/2019 16:00:00,135.64,OKTA
7/24/2019 16:00:00,137.02,OKTA
7/25/2019 16:00:00,136.62,OKTA
7/26/2019 16:00:00,140.53,OKTA
7/29/2019 16:00:00,132.63,OKTA
7/30/2019 16:00:00,131.99,OKTA
7/31/2019 16:00:00,130.83,OKTA
8/1/2019 16:00:00,133.08,OKTA
8/2/2019 16:00:00,132.57,OKTA
8/5/2019 16:00:00,126.27,OKTA
8/6/2019 16:00:00,129.93,OKTA
8/7/2019 16:00:00,132.39,OKTA
8/8/2019 16:00:00,136.17,OKTA
8/9/2019 16:00:00,134.2,OKTA
8/12/2019 16:00:00,130.5,OKTA
8/13/2019 16:00:00,133.14,OKTA
8/14/2019 16:00:00,126.87,OKTA
8/15/2019 16:00:00,127.36,OKTA
8/16/2019 16:00:00,128.18,OKTA
8/19/2019 16:00:00,125.84,OKTA
8/20/2019 16:00:00,131.74,OKTA
8/21/2019 16:00:00,137.07,OKTA
8/22/2019 16:00:00,133.87,OKTA
8/23/2019 16:00:00,132.46,OKTA
8/26/2019 16:00:00,133.44,OKTA
8/27/2019 16:00:00,135.07,OKTA
8/28/2019 16:00:00,133.17,OKTA
8/29/2019 16:00:00,127.18,OKTA
8/30/2019 16:00:00,126.5,OKTA
9/3/2019 16:00:00,128.19,OKTA
9/4/2019 16:00:00,127.94,OKTA
9/5/2019 16:00:00,124.25,OKTA
9/6/2019 16:00:00,121.25,OKTA
9/9/2019 16:00:00,109.26,OKTA
9/10/2019 16:00:00,107.22,OKTA
9/11/2019 16:00:00,106.58,OKTA
9/12/2019 16:00:00,106.37,OKTA
9/13/2019 16:00:00,102.09,OKTA
9/16/2019 16:00:00,103.79,OKTA
9/17/2019 16:00:00,105.66,OKTA
9/18/2019 16:00:00,103.63,OKTA
9/19/2019 16:00:00,103.5,OKTA
9/20/2019 16:00:00,106.16,OKTA
9/23/2019 16:00:00,105.12,OKTA
9/24/2019 16:00:00,102.39,OKTA
